[1.1999, 1.20001] ; [0.736722, 0.738617]
[1.2015, 1.20161] ; [0.738617, 0.740529]
[1.20312, 1.20322] ; [0.740529, 0.742459]
[1.20476, 1.20486] ; [0.742459, 0.744409]
[1.20641, 1.20652] ; [0.744409, 0.746379]
[1.20809, 1.2082] ; [0.746379, 0.748371]
[1.20979, 1.2099] ; [0.748371, 0.750385]
[1.21152, 1.21162] ; [0.750385, 0.752424]
[1.21327, 1.21338] ; [0.752424, 0.754489]
[1.21505, 1.21516] ; [0.754489, 0.756581]
[1.21687, 1.21698] ; [0.756581, 0.758704]
[1.21872, 1.21883] ; [0.758704, 0.760858]
[1.22061, 1.22072] ; [0.760858, 0.763048]
[1.22254, 1.22266] ; [0.763048, 0.765275]
[1.2245, 1.22461] ; [0.765275, 0.767522]
[1.22643, 1.22654] ; [0.767522, 0.769723]
[1.22833, 1.22845] ; [0.769723, 0.771884]
[1.23021, 1.23033] ; [0.771884, 0.774007]
[1.23207, 1.23218] ; [0.774007, 0.776094]
[1.23391, 1.23402] ; [0.776094, 0.778146]
[1.23572, 1.23584] ; [0.778146, 0.780166]
[1.23752, 1.23764] ; [0.780166, 0.782154]
[1.2393, 1.23942] ; [0.782154, 0.784112]
[1.24106, 1.24118] ; [0.784112, 0.786041]
[1.24281, 1.24293] ; [0.786041, 0.787941]
[1.24454, 1.24466] ; [0.787941, 0.789814]
[1.24625, 1.24637] ; [0.789814, 0.791661]
[1.24795, 1.24807] ; [0.791661, 0.793481]
[1.24963, 1.24975] ; [0.793481, 0.795275]
[1.25129, 1.25141] ; [0.795275, 0.797044]
[1.25294, 1.25306] ; [0.797044, 0.798789]
[1.25458, 1.2547] ; [0.798789, 0.800509]
[1.25619, 1.25631] ; [0.800509, 0.802205]
[1.2578, 1.25792] ; [0.802205, 0.803877]
[1.25938, 1.2595] ; [0.803877, 0.805526]
[1.26095, 1.26107] ; [0.805526, 0.807151]
[1.2625, 1.26263] ; [0.807151, 0.808752]
[1.26404, 1.26416] ; [0.808752, 0.810331]
[1.26556, 1.26568] ; [0.810331, 0.811886]
[1.26706, 1.26719] ; [0.811886, 0.813419]
[1.26857, 1.26869] ; [0.813419, 0.814951]
[1.27008, 1.2702] ; [0.814951, 0.81648]
[1.27159, 1.27172] ; [0.81648, 0.818007]
[1.27311, 1.27323] ; [0.818007, 0.819531]
[1.27462, 1.27475] ; [0.819531, 0.821054]
[1.27615, 1.27627] ; [0.821054, 0.822575]
[1.27767, 1.2778] ; [0.822575, 0.824095]
[1.2792, 1.27932] ; [0.824095, 0.825613]
[1.28073, 1.28085] ; [0.825613, 0.827129]
[1.28226, 1.28239] ; [0.827129, 0.828644]
[1.2838, 1.28392] ; [0.828644, 0.830158]
[1.28533, 1.28546] ; [0.830158, 0.831671]
[1.28688, 1.287] ; [0.831671, 0.833183]
[1.28842, 1.28855] ; [0.833183, 0.834694]
[1.28997, 1.29009] ; [0.834694, 0.836204]
[1.29152, 1.29164] ; [0.836204, 0.837713]
[1.29307, 1.2932] ; [0.837713, 0.839222]
[1.29462, 1.29475] ; [0.839222, 0.84073]
[1.29618, 1.29631] ; [0.84073, 0.842238]
[1.29774, 1.29787] ; [0.842238, 0.843746]
[1.29931, 1.29943] ; [0.843746, 0.845253]
[1.30087, 1.301] ; [0.845253, 0.84676]
[1.30244, 1.30257] ; [0.84676, 0.848267]
