[1.13844, 1.13855] ; [0.768398, 0.770532]
[1.14014, 1.14025] ; [0.770532, 0.772629]
[1.14182, 1.14193] ; [0.772629, 0.774691]
[1.14348, 1.14359] ; [0.774691, 0.776721]
[1.14513, 1.14523] ; [0.776721, 0.778719]
[1.14675, 1.14686] ; [0.778719, 0.780686]
[1.14836, 1.14847] ; [0.780686, 0.782624]
[1.14996, 1.15007] ; [0.782624, 0.784534]
[1.15154, 1.15165] ; [0.784534, 0.786417]
[1.15311, 1.15322] ; [0.786417, 0.788272]
[1.15466, 1.15477] ; [0.788272, 0.790102]
[1.1562, 1.15631] ; [0.790102, 0.791907]
[1.15772, 1.15783] ; [0.791907, 0.793686]
[1.15923, 1.15934] ; [0.793686, 0.795441]
[1.16073, 1.16084] ; [0.795441, 0.797172]
[1.16221, 1.16232] ; [0.797172, 0.798879]
[1.16368, 1.16379] ; [0.798879, 0.800563]
[1.16513, 1.16525] ; [0.800563, 0.802223]
[1.16657, 1.16669] ; [0.802223, 0.803861]
[1.168, 1.16811] ; [0.803861, 0.805475]
[1.16941, 1.16952] ; [0.805475, 0.807067]
[1.1708, 1.17092] ; [0.807067, 0.808636]
[1.17218, 1.1723] ; [0.808636, 0.810183]
[1.17355, 1.17366] ; [0.810183, 0.811706]
[1.1749, 1.17501] ; [0.811706, 0.813208]
[1.17625, 1.17636] ; [0.813208, 0.814704]
[1.1776, 1.17771] ; [0.814704, 0.816199]
[1.17895, 1.17907] ; [0.816199, 0.817691]
[1.18031, 1.18043] ; [0.817691, 0.819182]
[1.18167, 1.18179] ; [0.819182, 0.820671]
[1.18303, 1.18315] ; [0.820671, 0.822159]
[1.1844, 1.18451] ; [0.822159, 0.823645]
[1.18576, 1.18588] ; [0.823645, 0.82513]
[1.18713, 1.18725] ; [0.82513, 0.826614]
[1.1885, 1.18862] ; [0.826614, 0.828096]
[1.18988, 1.19] ; [0.828096, 0.829578]
[1.19126, 1.19137] ; [0.829578, 0.831059]
[1.19264, 1.19275] ; [0.831059, 0.832539]
[1.19402, 1.19413] ; [0.832539, 0.834019]
[1.1954, 1.19552] ; [0.834019, 0.835498]
