[-0.000137011, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0.0419473, 0.0428438] ; ([-0.0358524, -0.0349119] ; [-1.0509, -1.04683] ; [-0.717118, -0.714798] ; [2.56705, 2.60976])
[0.0428438, 0.0437621] ; ([-0.0368191, -0.0358522] ; [-1.05464, -1.05068] ; [-0.714798, -0.712381] ; [2.60949, 2.65299])
[0.0437621, 0.0447034] ; ([-0.0378134, -0.0368189] ; [-1.05827, -1.05443] ; [-0.712381, -0.709863] ; [2.65272, 2.69703])
[0.0447034, 0.0456684] ; ([-0.0388363, -0.0378132] ; [-1.06178, -1.05805] ; [-0.709864, -0.707239] ; [2.69675, 2.74191])
[0.0456684, 0.0466583] ; ([-0.0398889, -0.0388361] ; [-1.06518, -1.06157] ; [-0.707239, -0.704502] ; [2.74162, 2.78767])
[0.0466583, 0.0476741] ; ([-0.0409725, -0.0398887] ; [-1.06848, -1.06498] ; [-0.704503, -0.701647] ; [2.78737, 2.83433])
[0.0476741, 0.0487169] ; ([-0.0420883, -0.0409723] ; [-1.07167, -1.06828] ; [-0.701647, -0.698667] ; [2.83401, 2.88192])
[0.0487169, 0.0497879] ; ([-0.0432377, -0.0420881] ; [-1.07476, -1.07148] ; [-0.698667, -0.695554] ; [2.8816, 2.93049])
[0.0497879, 0.0508882] ; ([-0.0444219, -0.0432374] ; [-1.07775, -1.07457] ; [-0.695555, -0.692303] ; [2.93015, 2.98006])
[0.0508882, 0.0520192] ; ([-0.0456424, -0.0444216] ; [-1.08064, -1.07756] ; [-0.692303, -0.688904] ; [2.9797, 3.03066])
[0.0520192, 0.0531821] ; ([-0.0469006, -0.0456421] ; [-1.08343, -1.08045] ; [-0.688904, -0.68535] ; [3.03029, 3.08233])
[0.0531821, 0.0543782] ; ([-0.0481979, -0.0469003] ; [-1.08613, -1.08324] ; [-0.68535, -0.681632] ; [3.08194, 3.13509])
[0.0543782, 0.0556085] ; ([-0.0495358, -0.0481976] ; [-1.08873, -1.08594] ; [-0.681632, -0.677741] ; [3.13468, 3.18897])
[0.0556085, 0.0568739] ; ([-0.050915, -0.0495354] ; [-1.09123, -1.08855] ; [-0.677742, -0.673671] ; [3.18854, 3.24397])
[0.0568739, 0.0581754] ; ([-0.0523367, -0.0509146] ; [-1.09365, -1.09105] ; [-0.673672, -0.669413] ; [3.24352, 3.3001])
[0.0581754, 0.0595138] ; ([-0.0538019, -0.0523363] ; [-1.09597, -1.09347] ; [-0.669414, -0.664958] ; [3.29962, 3.35735])
[0.0595138, 0.0608898] ; ([-0.0553114, -0.0538015] ; [-1.0982, -1.09579] ; [-0.664959, -0.660298] ; [3.35684, 3.41572])
[0.0608898, 0.0623039] ; ([-0.0568658, -0.055311] ; [-1.10033, -1.09803] ; [-0.660299, -0.655427] ; [3.41518, 3.47518])
[0.0623039, 0.0637562] ; ([-0.0584652, -0.0568653] ; [-1.10238, -1.10016] ; [-0.655427, -0.650336] ; [3.47461, 3.53569])
[0.0637562, 0.0652464] ; ([-0.0601094, -0.0584647] ; [-1.10433, -1.10221] ; [-0.650337, -0.645022] ; [3.53509, 3.59721])
[0.0652464, 0.066774] ; ([-0.0617977, -0.0601088] ; [-1.10618, -1.10416] ; [-0.645022, -0.639479] ; [3.59657, 3.65965])
[0.066774, 0.0683379] ; ([-0.0635289, -0.0617971] ; [-1.10794, -1.10602] ; [-0.63948, -0.633707] ; [3.65898, 3.72293])
[0.0683379, 0.0699365] ; ([-0.0653014, -0.0635283] ; [-1.10959, -1.10777] ; [-0.633708, -0.627705] ; [3.72222, 3.78692])
[0.0699365, 0.0715679] ; ([-0.0671127, -0.0653007] ; [-1.11115, -1.10943] ; [-0.627705, -0.621474] ; [3.78617, 3.8515])
[0.0715679, 0.0732295] ; ([-0.0689601, -0.067112] ; [-1.11259, -1.11099] ; [-0.621475, -0.615021] ; [3.85072, 3.91652])
[0.0732295, 0.0749184] ; ([-0.0708403, -0.0689594] ; [-1.11393, -1.11243] ; [-0.615022, -0.608352] ; [3.9157, 3.98182])
[0.0749184, 0.0766315] ; ([-0.0727495, -0.0708395] ; [-1.11516, -1.11377] ; [-0.608353, -0.601475] ; [3.98095, 4.04721])
[0.0766315, 0.0783653] ; ([-0.0746838, -0.0727487] ; [-1.11627, -1.115] ; [-0.601476, -0.594402] ; [4.04632, 4.11254])
[0.0783653, 0.0801164] ; ([-0.0766393, -0.074683] ; [-1.11726, -1.11611] ; [-0.594403, -0.587145] ; [4.11161, 4.17763])
[0.0801164, 0.0818812] ; ([-0.0786117, -0.0766383] ; [-1.11813, -1.1171] ; [-0.587146, -0.579716] ; [4.17667, 4.2423])
[0.0818812, 0.0836564] ; ([-0.0805972, -0.0786107] ; [-1.11888, -1.11797] ; [-0.579717, -0.572128] ; [4.24131, 4.30642])
[0.0836564, 0.085439] ; ([-0.0825922, -0.0805962] ; [-1.1195, -1.11871] ; [-0.57213, -0.564396] ; [4.3054, 4.36982])
[0.085439, 0.0872261] ; ([-0.0845932, -0.0825911] ; [-1.11999, -1.11933] ; [-0.564397, -0.556531] ; [4.36878, 4.4324])
[0.0872261, 0.0890154] ; ([-0.0865974, -0.0845921] ; [-1.12035, -1.11982] ; [-0.556533, -0.548546] ; [4.43134, 4.49405])
[0.0890154, 0.0908046] ; ([-0.0886021, -0.0865962] ; [-1.12058, -1.12018] ; [-0.548548, -0.540451] ; [4.49296, 4.55466])
[0.0908046, 0.0925922] ; ([-0.0906052, -0.0886007] ; [-1.12068, -1.12041] ; [-0.540453, -0.532257] ; [4.55356, 4.61418])
[0.0925922, 0.0943766] ; ([-0.0926048, -0.0906036] ; [-1.12064, -1.12051] ; [-0.532259, -0.523972] ; [4.61306, 4.67254])
[0.0943766, 0.0961568] ; ([-0.0945995, -0.0926031] ; [-1.12057, -1.12037] ; [-0.523975, -0.515604] ; [4.67141, 4.7297])
[0.0961568, 0.0979235] ; ([-0.0965787, -0.0945976] ; [-1.1204, -1.12006] ; [-0.515607, -0.5072] ; [4.72856, 4.78535])
[0.0979235, 0.0996745] ; ([-0.0985398, -0.0965766] ; [-1.1201, -1.11962] ; [-0.507203, -0.498774] ; [4.78421, 4.83945])
[0.0996745, 0.10141] ; ([-0.100483, -0.0985375] ; [-1.11966, -1.11906] ; [-0.498776, -0.490329] ; [4.83831, 4.89202])
[0.10141, 0.103131] ; ([-0.102408, -0.10048] ; [-1.1191, -1.11836] ; [-0.490332, -0.481869] ; [4.89087, 4.94306])
[0.103131, 0.104837] ; ([-0.104315, -0.102405] ; [-1.1184, -1.11754] ; [-0.481872, -0.473395] ; [4.94192, 4.99262])
[0.104837, 0.106528] ; ([-0.106205, -0.104312] ; [-1.11758, -1.11659] ; [-0.473398, -0.46491] ; [4.99148, 5.04072])
[0.106528, 0.108206] ; ([-0.108077, -0.106201] ; [-1.11663, -1.11551] ; [-0.464913, -0.456415] ; [5.03958, 5.08738])
[0.108206, 0.10987] ; ([-0.109933, -0.108074] ; [-1.11556, -1.11432] ; [-0.456419, -0.447911] ; [5.08624, 5.13263])
[0.10987, 0.111522] ; ([-0.111773, -0.109929] ; [-1.11436, -1.113] ; [-0.447915, -0.439398] ; [5.13149, 5.17651])
[0.111522, 0.113161] ; ([-0.113597, -0.111769] ; [-1.11305, -1.11156] ; [-0.439402, -0.430877] ; [5.17536, 5.21903])
[0.113161, 0.114789] ; ([-0.115405, -0.113592] ; [-1.11161, -1.11] ; [-0.430881, -0.422348] ; [5.21788, 5.26022])
[0.114789, 0.116406] ; ([-0.117199, -0.1154] ; [-1.11005, -1.10832] ; [-0.422352, -0.413811] ; [5.25907, 5.30011])
[0.116406, 0.118013] ; ([-0.118978, -0.117194] ; [-1.10837, -1.10652] ; [-0.413815, -0.405265] ; [5.29896, 5.33873])
[0.118013, 0.11961] ; ([-0.120744, -0.118973] ; [-1.10657, -1.1046] ; [-0.40527, -0.396711] ; [5.33758, 5.3761])
[0.11961, 0.121197] ; ([-0.122496, -0.120738] ; [-1.10466, -1.10257] ; [-0.396716, -0.388148] ; [5.37494, 5.41223])
[0.121197, 0.122776] ; ([-0.124236, -0.12249] ; [-1.10263, -1.10043] ; [-0.388153, -0.379575] ; [5.41108, 5.44716])
[0.122776, 0.124347] ; ([-0.125963, -0.12423] ; [-1.10049, -1.09817] ; [-0.37958, -0.370993] ; [5.446, 5.4809])
[0.124347, 0.12591] ; ([-0.127678, -0.125956] ; [-1.09823, -1.0958] ; [-0.370998, -0.3624] ; [5.47974, 5.51347])
[0.12591, 0.127467] ; ([-0.129381, -0.127671] ; [-1.09587, -1.09332] ; [-0.362405, -0.353796] ; [5.51231, 5.54489])
[0.127467, 0.129016] ; ([-0.131074, -0.129375] ; [-1.09339, -1.09073] ; [-0.353802, -0.345181] ; [5.54372, 5.57518])
[0.129016, 0.13056] ; ([-0.132755, -0.131067] ; [-1.0908, -1.08803] ; [-0.345187, -0.336553] ; [5.574, 5.60434])
[0.13056, 0.132098] ; ([-0.134427, -0.132748] ; [-1.0881, -1.08523] ; [-0.336559, -0.327913] ; [5.60316, 5.63241])
[0.132098, 0.133631] ; ([-0.136088, -0.134419] ; [-1.0853, -1.08232] ; [-0.327919, -0.319259] ; [5.63122, 5.65937])
[0.133631, 0.135159] ; ([-0.13774, -0.136081] ; [-1.08239, -1.0793] ; [-0.319265, -0.31059] ; [5.65818, 5.68526])
[0.135159, 0.136683] ; ([-0.139383, -0.137733] ; [-1.07937, -1.07618] ; [-0.310598, -0.301907] ; [5.68406, 5.71009])
[0.136683, 0.138203] ; ([-0.141017, -0.139375] ; [-1.07626, -1.07296] ; [-0.301915, -0.293209] ; [5.70888, 5.73385])
