[-0.00012218, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0.185288, 0.187321] ; ([-0.144353, -0.141973] ; [-1.17117, -1.16579] ; [0.184138, 0.197069] ; [-6.36391, -6.34616])
[0.187321, 0.189365] ; ([-0.146752, -0.144349] ; [-1.17661, -1.17108] ; [0.171122, 0.184146] ; [-6.37794, -6.36191])
[0.189365, 0.191419] ; ([-0.149175, -0.146747] ; [-1.18219, -1.17651] ; [0.158008, 0.171131] ; [-6.3902, -6.37591])
[0.191419, 0.193486] ; ([-0.151624, -0.14917] ; [-1.18791, -1.18208] ; [0.144791, 0.158017] ; [-6.40068, -6.38815])
[0.193486, 0.195567] ; ([-0.154102, -0.151619] ; [-1.19377, -1.18779] ; [0.131464, 0.1448] ; [-6.40935, -6.39859])
[0.195567, 0.197664] ; ([-0.156611, -0.154097] ; [-1.19976, -1.19364] ; [0.118021, 0.131473] ; [-6.41618, -6.40723])
[0.197664, 0.199777] ; ([-0.159153, -0.156606] ; [-1.20589, -1.19962] ; [0.104456, 0.118031] ; [-6.42113, -6.41402])
[0.199777, 0.201909] ; ([-0.161731, -0.159148] ; [-1.21214, -1.20573] ; [0.0907635, 0.104467] ; [-6.42416, -6.41894])
[0.201909, 0.204062] ; ([-0.164347, -0.161725] ; [-1.21852, -1.21197] ; [0.0769359, 0.0907754] ; [-6.42524, -6.42193])
[0.204062, 0.206236] ; ([-0.167004, -0.164341] ; [-1.22502, -1.21834] ; [0.0629672, 0.0769506] ; [-6.42431, -6.42296])
[0.206236, 0.208434] ; ([-0.169703, -0.166997] ; [-1.23163, -1.22482] ; [0.0488497, 0.0629849] ; [-6.4233, -6.42])
[0.208434, 0.210656] ; ([-0.172447, -0.169697] ; [-1.23835, -1.23142] ; [0.0345905, 0.0488718] ; [-6.42028, -6.41485])
[0.210656, 0.212903] ; ([-0.175237, -0.17244] ; [-1.24517, -1.23812] ; [0.0201797, 0.0346182] ; [-6.41515, -6.40752])
[0.212903, 0.215178] ; ([-0.178077, -0.17523] ; [-1.25208, -1.24492] ; [0.00561085, 0.0202133] ; [-6.40784, -6.39794])
[0.215178, 0.217422] ; ([-0.180895, -0.17807] ; [-1.25889, -1.25182] ; [-0.00873735, 0.00564978] ; [-6.39828, -6.38638])
[0.217422, 0.21963] ; ([-0.183681, -0.180887] ; [-1.26558, -1.25864] ; [-0.022825, -0.00869388] ; [-6.38673, -6.37298])
[0.21963, 0.221807] ; ([-0.186444, -0.183673] ; [-1.27215, -1.26532] ; [-0.0366906, -0.0227773] ; [-6.37334, -6.35779])
[0.221807, 0.223958] ; ([-0.189187, -0.186436] ; [-1.27862, -1.2719] ; [-0.0503505, -0.0366389] ; [-6.35817, -6.3409])
