[-0.0001447, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0.117464, 0.119157] ; ([-0.118408, -0.116541] ; [-1.10083, -1.09911] ; [-0.419553, -0.410728] ; [5.18971, 5.23113])
[0.119157, 0.120839] ; ([-0.120256, -0.118403] ; [-1.09916, -1.09733] ; [-0.410731, -0.401894] ; [5.22995, 5.27006])
[0.120839, 0.122512] ; ([-0.12209, -0.120251] ; [-1.09738, -1.09542] ; [-0.401898, -0.393048] ; [5.26888, 5.3077])
[0.122512, 0.124175] ; ([-0.123911, -0.122084] ; [-1.09547, -1.09339] ; [-0.393052, -0.38419] ; [5.30652, 5.34408])
[0.124175, 0.12583] ; ([-0.125718, -0.123905] ; [-1.09345, -1.09124] ; [-0.384194, -0.375318] ; [5.34289, 5.3792])
[0.12583, 0.127477] ; ([-0.127514, -0.125712] ; [-1.0913, -1.08898] ; [-0.375322, -0.366433] ; [5.37801, 5.4131])
[0.127477, 0.129116] ; ([-0.129297, -0.127507] ; [-1.08904, -1.0866] ; [-0.366438, -0.357533] ; [5.41191, 5.4458])
[0.129116, 0.130748] ; ([-0.131069, -0.12929] ; [-1.08666, -1.0841] ; [-0.357538, -0.348619] ; [5.4446, 5.4773])
[0.130748, 0.132374] ; ([-0.13283, -0.131062] ; [-1.08416, -1.08148] ; [-0.348625, -0.33969] ; [5.47609, 5.50762])
[0.132374, 0.133994] ; ([-0.13458, -0.132823] ; [-1.08155, -1.07876] ; [-0.339695, -0.330744] ; [5.50641, 5.53679])
[0.133994, 0.135609] ; ([-0.13632, -0.134572] ; [-1.07882, -1.07592] ; [-0.33075, -0.321781] ; [5.53558, 5.56481])
[0.135609, 0.137219] ; ([-0.13805, -0.136312] ; [-1.07599, -1.07297] ; [-0.321787, -0.312801] ; [5.56359, 5.5917])
[0.137219, 0.138825] ; ([-0.13977, -0.138042] ; [-1.07304, -1.06991] ; [-0.312807, -0.303802] ; [5.59048, 5.61747])
[0.138825, 0.140427] ; ([-0.141482, -0.139762] ; [-1.06998, -1.06675] ; [-0.303808, -0.294783] ; [5.61624, 5.64213])
[0.140427, 0.142026] ; ([-0.143185, -0.141474] ; [-1.06682, -1.06348] ; [-0.29479, -0.285745] ; [5.64089, 5.66569])
[0.142026, 0.143622] ; ([-0.14488, -0.143177] ; [-1.06355, -1.0601] ; [-0.285752, -0.276685] ; [5.66444, 5.68816])
[0.143622, 0.145216] ; ([-0.146567, -0.144871] ; [-1.06018, -1.05662] ; [-0.276692, -0.267603] ; [5.6869, 5.70954])
[0.145216, 0.146808] ; ([-0.148247, -0.146558] ; [-1.0567, -1.05304] ; [-0.267611, -0.258498] ; [5.70828, 5.72985])
[0.146808, 0.148398] ; ([-0.149919, -0.148237] ; [-1.05312, -1.04936] ; [-0.258507, -0.24937] ; [5.72858, 5.74909])
[0.148398, 0.149988] ; ([-0.151584, -0.149909] ; [-1.04944, -1.04558] ; [-0.249378, -0.240217] ; [5.74781, 5.76726])
[0.149988, 0.151577] ; ([-0.153243, -0.151574] ; [-1.04566, -1.0417] ; [-0.240225, -0.231037] ; [5.76597, 5.78437])
[0.151577, 0.153167] ; ([-0.154896, -0.153233] ; [-1.04179, -1.03773] ; [-0.231047, -0.221832] ; [5.78307, 5.80042])
[0.153167, 0.154757] ; ([-0.156543, -0.154886] ; [-1.03783, -1.03367] ; [-0.221841, -0.212598] ; [5.79911, 5.81542])
[0.154757, 0.156347] ; ([-0.158184, -0.156532] ; [-1.03377, -1.02952] ; [-0.212608, -0.203336] ; [5.81409, 5.82936])
[0.156347, 0.15794] ; ([-0.159821, -0.158173] ; [-1.02963, -1.02528] ; [-0.203347, -0.194045] ; [5.82802, 5.84225])
[0.15794, 0.159534] ; ([-0.161452, -0.159809] ; [-1.02539, -1.02095] ; [-0.194056, -0.184723] ; [5.8409, 5.85408])
[0.159534, 0.16113] ; ([-0.163078, -0.16144] ; [-1.02107, -1.01654] ; [-0.184734, -0.175369] ; [5.85272, 5.86486])
[0.16113, 0.162729] ; ([-0.164701, -0.163067] ; [-1.01667, -1.01205] ; [-0.175381, -0.165983] ; [5.86348, 5.87458])
[0.162729, 0.164332] ; ([-0.166319, -0.164689] ; [-1.01218, -1.00748] ; [-0.165995, -0.156563] ; [5.87319, 5.88324])
[0.164332, 0.165938] ; ([-0.167934, -0.166307] ; [-1.00762, -1.00283] ; [-0.156575, -0.147108] ; [5.88184, 5.89084])
[0.165938, 0.167548] ; ([-0.169545, -0.167921] ; [-1.00297, -0.998112] ; [-0.147121, -0.137618] ; [5.88942, 5.89737])
[0.167548, 0.169163] ; ([-0.171153, -0.169532] ; [-0.998259, -0.993318] ; [-0.137632, -0.128091] ; [5.89593, 5.90283])
[0.169163, 0.170783] ; ([-0.172759, -0.17114] ; [-0.993472, -0.988456] ; [-0.128105, -0.118526] ; [5.90137, 5.9072])
[0.170783, 0.172409] ; ([-0.174362, -0.172745] ; [-0.988616, -0.983527] ; [-0.118541, -0.108922] ; [5.90573, 5.91049])
