[-0.000125263, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0.0706613, 0.0721351] ; ([-0.0174324, -0.0158922] ; [-1.0461, -1.04358] ; [0.768481, 0.772891] ; [-3.02461, -2.9603])
[0.0721351, 0.0736467] ; ([-0.0190152, -0.0174321] ; [-1.04828, -1.0459] ; [0.76386, 0.768481] ; [-3.09002, -3.02432])
[0.0736467, 0.0751981] ; ([-0.0206429, -0.0190149] ; [-1.05031, -1.04807] ; [0.759014, 0.76386] ; [-3.15683, -3.0897])
[0.0751981, 0.0767914] ; ([-0.0223178, -0.0206426] ; [-1.0522, -1.05011] ; [0.75393, 0.759015] ; [-3.22511, -3.15648])
[0.0767914, 0.0784293] ; ([-0.0240424, -0.0223175] ; [-1.05396, -1.05201] ; [0.748591, 0.75393] ; [-3.29491, -3.22472])
[0.0784293, 0.0801144] ; ([-0.0258197, -0.0240421] ; [-1.05558, -1.05377] ; [0.742979, 0.748591] ; [-3.36631, -3.29449])
[0.0801144, 0.08185] ; ([-0.0276529, -0.0258194] ; [-1.05707, -1.05539] ; [0.737073, 0.742979] ; [-3.43938, -3.36584])
[0.08185, 0.0836216] ; ([-0.0295267, -0.0276526] ; [-1.05842, -1.05689] ; [0.730915, 0.737074] ; [-3.51346, -3.43887])
[0.0836216, 0.0854276] ; ([-0.0314392, -0.0295264] ; [-1.05963, -1.05825] ; [0.724502, 0.730915] ; [-3.58842, -3.5129])
[0.0854276, 0.0872691] ; ([-0.0333915, -0.0314388] ; [-1.06072, -1.05947] ; [0.717824, 0.724503] ; [-3.66426, -3.58782])
[0.0872691, 0.0891475] ; ([-0.0353847, -0.033391] ; [-1.06169, -1.06057] ; [0.71087, 0.717825] ; [-3.74098, -3.66361])
[0.0891475, 0.0910643] ; ([-0.0374205, -0.0353843] ; [-1.06254, -1.06155] ; [0.703625, 0.71087] ; [-3.81858, -3.74028])
[0.0910643, 0.093021] ; ([-0.0395002, -0.03742] ; [-1.0633, -1.06242] ; [0.696077, 0.703626] ; [-3.89704, -3.81782])
[0.093021, 0.0950196] ; ([-0.041626, -0.0394998] ; [-1.06396, -1.06318] ; [0.68821, 0.696078] ; [-3.97638, -3.89623])
[0.0950196, 0.0970622] ; ([-0.0437997, -0.0416255] ; [-1.06455, -1.06386] ; [0.680006, 0.688211] ; [-4.05659, -3.9755])
[0.0970622, 0.0991512] ; ([-0.046024, -0.0437992] ; [-1.06506, -1.06445] ; [0.671448, 0.680007] ; [-4.13769, -4.05564])
[0.0991512, 0.101289] ; ([-0.0483017, -0.0460235] ; [-1.06552, -1.06498] ; [0.662515, 0.671449] ; [-4.21967, -4.13666])
[0.101289, 0.10348] ; ([-0.0506361, -0.0483011] ; [-1.06593, -1.06545] ; [0.653182, 0.662516] ; [-4.30256, -4.21856])
[0.10348, 0.105726] ; ([-0.0530312, -0.0506355] ; [-1.06632, -1.06588] ; [0.643423, 0.653183] ; [-4.38637, -4.30136])
[0.105726, 0.108033] ; ([-0.0554914, -0.0530305] ; [-1.0667, -1.06628] ; [0.633208, 0.643424] ; [-4.47114, -4.38507])
[0.108033, 0.110405] ; ([-0.0580224, -0.0554907] ; [-1.0671, -1.06667] ; [0.622501, 0.633209] ; [-4.55689, -4.46971])
[0.110405, 0.112849] ; ([-0.0606305, -0.0580216] ; [-1.06752, -1.06708] ; [0.611261, 0.622502] ; [-4.64368, -4.55534])
[0.112849, 0.115371] ; ([-0.0633236, -0.0606296] ; [-1.068, -1.0675] ; [0.59944, 0.611262] ; [-4.73156, -4.64197])
[0.115371, 0.11798] ; ([-0.0661105, -0.0633226] ; [-1.06856, -1.06797] ; [0.586982, 0.599441] ; [-4.82058, -4.72968])
[0.11798, 0.120685] ; ([-0.0690024, -0.0661094] ; [-1.06923, -1.06853] ; [0.57382, 0.586984] ; [-4.91085, -4.81851])
[0.120685, 0.1235] ; ([-0.0720128, -0.0690011] ; [-1.07006, -1.0692] ; [0.559873, 0.573822] ; [-5.00244, -4.90854])
[0.1235, 0.126263] ; ([-0.074971, -0.0720113] ; [-1.07102, -1.07002] ; [0.545931, 0.559875] ; [-5.08989, -5.00002])
[0.126263, 0.128896] ; ([-0.0777919, -0.0749694] ; [-1.07209, -1.07097] ; [0.532427, 0.545933] ; [-5.17089, -5.08755])
[0.128896, 0.131435] ; ([-0.0805155, -0.0777903] ; [-1.07328, -1.07204] ; [0.519203, 0.532429] ; [-5.24691, -5.16868])
[0.131435, 0.133898] ; ([-0.0831606, -0.0805138] ; [-1.0746, -1.07323] ; [0.506193, 0.519205] ; [-5.31863, -5.2448])
[0.133898, 0.136298] ; ([-0.0857416, -0.0831589] ; [-1.07606, -1.07455] ; [0.493347, 0.506196] ; [-5.38656, -5.31658])
[0.136298, 0.138646] ; ([-0.0882693, -0.0857398] ; [-1.07766, -1.07601] ; [0.480629, 0.49335] ; [-5.45106, -5.38456])
[0.138646, 0.140948] ; ([-0.0907523, -0.0882675] ; [-1.0794, -1.07761] ; [0.468011, 0.480632] ; [-5.51245, -5.4491])
[0.140948, 0.143211] ; ([-0.0931973, -0.0907503] ; [-1.08129, -1.07935] ; [0.45547, 0.468014] ; [-5.57095, -5.51052])
[0.143211, 0.145441] ; ([-0.0956103, -0.0931953] ; [-1.08333, -1.08124] ; [0.442989, 0.455473] ; [-5.62675, -5.56905])
[0.145441, 0.147641] ; ([-0.0979961, -0.0956082] ; [-1.08552, -1.08328] ; [0.430553, 0.442992] ; [-5.68002, -5.62487])
[0.147641, 0.149815] ; ([-0.100359, -0.0979939] ; [-1.08787, -1.08547] ; [0.418149, 0.430556] ; [-5.73088, -5.67815])
[0.149815, 0.151967] ; ([-0.102702, -0.100357] ; [-1.09037, -1.08782] ; [0.405766, 0.418152] ; [-5.77944, -5.72902])
[0.151967, 0.154099] ; ([-0.10503, -0.1027] ; [-1.09303, -1.09032] ; [0.393395, 0.405769] ; [-5.82579, -5.77759])
[0.154099, 0.156214] ; ([-0.107345, -0.105028] ; [-1.09584, -1.09297] ; [0.381028, 0.393399] ; [-5.87002, -5.82395])
[0.156214, 0.158315] ; ([-0.10965, -0.107342] ; [-1.09881, -1.09579] ; [0.368656, 0.381031] ; [-5.9122, -5.86818])
[0.158315, 0.160402] ; ([-0.111947, -0.109647] ; [-1.10195, -1.09876] ; [0.356272, 0.36866] ; [-5.95238, -5.91036])
[0.160402, 0.16248] ; ([-0.114239, -0.111944] ; [-1.10524, -1.10189] ; [0.343871, 0.356277] ; [-5.99061, -5.95053])
[0.16248, 0.164548] ; ([-0.116528, -0.114236] ; [-1.10868, -1.10518] ; [0.331445, 0.343875] ; [-6.02693, -5.98876])
[0.164548, 0.166609] ; ([-0.118817, -0.116525] ; [-1.11229, -1.10863] ; [0.318988, 0.331449] ; [-6.06139, -6.02508])
[0.166609, 0.168665] ; ([-0.121108, -0.118814] ; [-1.11606, -1.11223] ; [0.306495, 0.318993] ; [-6.09401, -6.05953])
[0.168665, 0.170717] ; ([-0.123402, -0.121104] ; [-1.11998, -1.116] ; [0.29396, 0.3065] ; [-6.12482, -6.09214])
[0.170717, 0.172766] ; ([-0.125701, -0.123398] ; [-1.12406, -1.11992] ; [0.281377, 0.293965] ; [-6.15384, -6.12294])
[0.172766, 0.174815] ; ([-0.128009, -0.125698] ; [-1.1283, -1.124] ; [0.268742, 0.281383] ; [-6.18108, -6.15195])
[0.174815, 0.176865] ; ([-0.130326, -0.128005] ; [-1.1327, -1.12823] ; [0.256047, 0.268747] ; [-6.20656, -6.17917])
[0.176865, 0.178917] ; ([-0.132655, -0.130322] ; [-1.13724, -1.13262] ; [0.243289, 0.256053] ; [-6.23028, -6.20463])
[0.178917, 0.180973] ; ([-0.134998, -0.132651] ; [-1.14195, -1.13717] ; [0.230461, 0.243295] ; [-6.25224, -6.22834])
[0.180973, 0.183034] ; ([-0.137356, -0.134994] ; [-1.1468, -1.14187] ; [0.217557, 0.230467] ; [-6.27245, -6.25028])
[0.183034, 0.185101] ; ([-0.139731, -0.137352] ; [-1.15181, -1.14672] ; [0.204573, 0.217564] ; [-6.2909, -6.27047])
[0.185101, 0.187176] ; ([-0.142127, -0.139727] ; [-1.15696, -1.15172] ; [0.191502, 0.20458] ; [-6.30758, -6.28889])
[0.187176, 0.189261] ; ([-0.144544, -0.142123] ; [-1.16226, -1.15687] ; [0.178339, 0.19151] ; [-6.32248, -6.30555])
[0.189261, 0.191356] ; ([-0.146986, -0.14454] ; [-1.16771, -1.16217] ; [0.165077, 0.178347] ; [-6.33557, -6.32042])
[0.191356, 0.193465] ; ([-0.149453, -0.146981] ; [-1.1733, -1.16761] ; [0.15171, 0.165085] ; [-6.34684, -6.33348])
[0.193465, 0.195587] ; ([-0.151949, -0.149448] ; [-1.17902, -1.17319] ; [0.138233, 0.151719] ; [-6.35627, -6.34472])
[0.195587, 0.197724] ; ([-0.154476, -0.151944] ; [-1.18489, -1.1789] ; [0.124639, 0.138243] ; [-6.36382, -6.35412])
[0.197724, 0.199879] ; ([-0.157035, -0.15447] ; [-1.19089, -1.18476] ; [0.110921, 0.124649] ; [-6.36945, -6.36163])
[0.199879, 0.202053] ; ([-0.159631, -0.15703] ; [-1.19702, -1.19075] ; [0.0970722, 0.110931] ; [-6.37314, -6.36723])
[0.202053, 0.204248] ; ([-0.162265, -0.159625] ; [-1.20328, -1.19687] ; [0.0830865, 0.0970831] ; [-6.37482, -6.37087])
[0.204248, 0.206465] ; ([-0.164939, -0.162258] ; [-1.20966, -1.20311] ; [0.0689565, 0.0831003] ; [-6.37446, -6.37252])
[0.206465, 0.208706] ; ([-0.167657, -0.164933] ; [-1.21617, -1.20948] ; [0.0546748, 0.0689732] ; [-6.37343, -6.37068])
[0.208706, 0.210971] ; ([-0.17042, -0.167651] ; [-1.22278, -1.21597] ; [0.0402432, 0.0546955] ; [-6.37095, -6.36602])
[0.210971, 0.213263] ; ([-0.17323, -0.170413] ; [-1.2295, -1.22256] ; [0.0256574, 0.0402697] ; [-6.3663, -6.35913])
[0.213263, 0.215583] ; ([-0.17609, -0.173223] ; [-1.23631, -1.22926] ; [0.0109089, 0.02569] ; [-6.35944, -6.34995])
[0.215583, 0.217913] ; ([-0.178979, -0.176083] ; [-1.24316, -1.23606] ; [-0.00387684, 0.0109476] ; [-6.35027, -6.33851])
[0.217913, 0.220189] ; ([-0.181815, -0.178971] ; [-1.24983, -1.24291] ; [-0.0182903, -0.00383309] ; [-6.33885, -6.32521])
[0.220189, 0.222436] ; ([-0.184631, -0.181808] ; [-1.2564, -1.24958] ; [-0.0324882, -0.0182421] ; [-6.32555, -6.31002])
[0.222436, 0.224652] ; ([-0.187422, -0.184623] ; [-1.26285, -1.25615] ; [-0.0464546, -0.0324357] ; [-6.31038, -6.29306])
[0.224652, 0.226842] ; ([-0.190195, -0.187414] ; [-1.26918, -1.2626] ; [-0.0602203, -0.0463981] ; [-6.29343, -6.27438])
[0.226842, 0.229009] ; ([-0.192952, -0.190186] ; [-1.27541, -1.26893] ; [-0.0737997, -0.0601597] ; [-6.27476, -6.25404])
[0.229009, 0.231157] ; ([-0.195697, -0.192943] ; [-1.28152, -1.27516] ; [-0.0872089, -0.0737353] ; [-6.25443, -6.23208])
[0.231157, 0.233287] ; ([-0.198433, -0.195688] ; [-1.28752, -1.28127] ; [-0.100461, -0.0871406] ; [-6.23248, -6.20854])
[0.233287, 0.235402] ; ([-0.201162, -0.198424] ; [-1.29342, -1.28728] ; [-0.113568, -0.100389] ; [-6.20895, -6.18344])
[0.235402, 0.237504] ; ([-0.203887, -0.201153] ; [-1.2992, -1.29317] ; [-0.126541, -0.113493] ; [-6.18387, -6.15683])
[0.237504, 0.239595] ; ([-0.20661, -0.203878] ; [-1.30488, -1.29896] ; [-0.139389, -0.126462] ; [-6.15726, -6.12871])
[0.239595, 0.241677] ; ([-0.209332, -0.2066] ; [-1.31045, -1.30464] ; [-0.15212, -0.139306] ; [-6.12915, -6.0991])
[0.241677, 0.24375] ; ([-0.212054, -0.209322] ; [-1.3159, -1.31021] ; [-0.164732, -0.152033] ; [-6.09956, -6.06805])
